id_original,id_fold_prevalence
1,4
2,3
3,2
4,4
5,1
6,5
7,5
8,2
9,5
10,4
11,1
12,4
13,4
14,2
15,2
16,2
17,2
18,5
19,5
20,4
21,1
22,1
23,1
24,4
25,2
26,5
27,1
28,4
29,1
30,4
31,5
32,3
33,4
34,3
35,1
36,2
37,2
38,5
39,3
40,1
41,3
42,2
43,2
44,1
45,5
46,1
47,5
48,3
49,2
50,4
51,4
52,4
53,5
54,2
55,1
56,3
57,4
58,5
59,2
60,3
61,3
62,2
63,1
64,1
65,4
66,2
67,5
68,2
69,4
70,1
71,1
72,3
73,3
74,5
75,5
76,3
77,4
78,3
79,3
80,4
81,5
82,1
83,5
84,3
85,1
86,4
87,3
88,3
89,5
90,5
91,4
92,4
93,3
94,2
95,1
96,5
97,3
98,3
99,4
100,1
101,4
102,1
103,3
104,5
105,3
106,3
107,1
108,4
109,3
110,4
111,4
112,3
113,4
114,3
115,5
116,2
117,3
118,5
119,3
120,5
121,1
122,4
123,4
124,5
125,2
126,1
127,5
128,5
129,1
130,4
131,4
132,4
133,5
134,1
135,1
136,1
137,1
138,2
139,5
140,1
141,1
142,2
143,5
144,3
145,4
146,4
147,2
148,3
149,3
150,1
151,2
152,5
153,3
154,2
155,2
156,2
157,1
158,3
159,3
160,4
161,5
162,2
163,2
164,5
165,2
166,4
167,5
168,2
169,2
170,5
171,1
172,3
173,1
174,5
175,4
176,1
177,4
178,5
179,2
180,4
181,4
182,1
183,2
184,1
185,4
186,5
187,2
188,3
189,1
190,5
191,2
192,1
193,5
194,4
195,5
196,1
197,1
198,5
199,3
200,3
201,5
202,3
203,5
204,4
205,2
206,3
207,1
208,2
209,5
210,4
211,4
212,3
213,4
214,1
215,5
216,3
217,2
218,3
219,1
220,1
221,2
222,4
223,5
224,2
225,2
226,3
227,1
228,2
229,2
230,1
231,4
232,2
233,5
234,3
235,4
236,5
237,5
238,2
239,2
240,5
241,3
242,2
243,4
244,5
245,1
246,3
247,4
248,2
249,5
250,5
251,3
252,5
253,4
254,2
255,3
256,1
257,4
258,3
259,3
260,3
261,2
262,1
263,5
264,2
265,1
266,2
267,2
268,5
269,4
270,3
271,4
272,5
273,2
274,1
275,1
276,4
277,5
278,3
279,1
280,2
281,4
282,3
283,2
284,3
285,2
286,1
287,3
288,3
289,5
290,3
291,1
292,4
293,1
294,3
295,2
296,2
297,4
298,5
299,4
300,4
301,2
302,1
303,3
